Fecha,Salidas
01/01/2008,1034682
01/02/2008,957075
01/03/2008,1132697
01/04/2008,1055504
01/05/2008,1087835
01/06/2008,1089415
01/07/2008,1257439
01/08/2008,1147003
01/09/2008,1002721
01/10/2008,1075373
01/11/2008,1082779
01/12/2008,1182801
01/01/2009,1097332
01/02/2009,992143
01/03/2009,1119099
01/04/2009,1072968
01/05/2009,700290
01/06/2009,951360
01/07/2009,1183251
01/08/2009,1080487
01/09/2009,895866
01/10/2009,981192
01/11/2009,979561
01/12/2009,1079328
01/01/2010,942479
01/02/2010,843405
01/03/2010,1071713
01/04/2010,968334
01/05/2010,1035953
01/06/2010,1028657
01/07/2010,1253016
01/08/2010,1115597
01/09/2010,834609
01/10/2010,970230
01/11/2010,953261
01/12/2010,1054735
01/01/2011,908421
01/02/2011,836256
01/03/2011,1026699
01/04/2011,1060715
01/05/2011,1111238
01/06/2011,1066725
01/07/2011,1313366
01/08/2011,1198518
01/09/2011,1072294
01/10/2011,1156541
01/11/2011,1159052
01/12/2011,1302875
01/01/2012,1123269
01/02/2012,1038355
01/03/2012,1243442
01/04/2012,1170779
01/05/2012,1193222
01/06/2012,1199188
01/07/2012,1465310
01/08/2012,1328974
01/09/2012,1160238
01/10/2012,1250215
01/11/2012,1247908
01/12/2012,1385822
01/01/2013,1213053
01/02/2013,1058852
01/03/2013,1291613
01/04/2013,1206396
01/05/2013,1290162
01/06/2013,1311377
01/07/2013,1583686
01/08/2013,1430188
01/09/2013,1252495
01/10/2013,1336731
01/11/2013,1362843
01/12/2013,1504831
01/01/2014,1334545
01/02/2014,1164324
01/03/2014,1341308
01/04/2014,1392085
01/05/2014,1434138
01/06/2014,1384019
01/07/2014,1660218
01/08/2014,1553318
01/09/2014,1343779
01/10/2014,1474522
01/11/2014,1477670
01/12/2014,1613914
01/01/2015,1419551
01/02/2015,1275222
01/03/2015,1603501
01/04/2015,1526265
01/05/2015,1610008
01/06/2015,1590335
01/07/2015,1889156
01/08/2015,1743960
01/09/2015,1511930
01/10/2015,1621352
01/11/2015,1646706
01/12/2015,1785951
01/01/2016,1569171
01/02/2016,1418211
01/03/2016,1713495
01/04/2016,1591712
01/05/2016,1715675
01/06/2016,1733991
01/07/2016,2038534
01/08/2016,1865609
01/09/2016,1661319
01/10/2016,1762583
01/11/2016,1791873
01/12/2016,1972316
01/01/2017,1770317
01/02/2017,1561833
01/03/2017,1824363
01/04/2017,1874813
01/05/2017,1880648
01/06/2017,1898140
01/07/2017,2127034
01/08/2017,1990017
01/09/2017,1687409
01/10/2017,1840704
01/11/2017,1896091
01/12/2017,2005003
01/01/2018,1887171
01/02/2018,1684766
01/03/2018,2010873
01/04/2018,1931688
01/05/2018,1983448
01/06/2018,1944250
01/07/2018,2250238
01/08/2018,2109273
01/09/2018,1883254
01/10/2018,2017358
01/11/2018,2032112
01/12/2018,2124965
01/01/2019,1956707
01/02/2019,1755724
01/03/2019,2072594
01/04/2019,2091546
01/05/2019,2190456
01/06/2019,2121607
01/07/2019,2339595
01/08/2019,2207163
01/09/2019,1962079
01/10/2019,2102570
01/11/2019,2124365
01/12/2019,2254497
